audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
73,4,46.025951,3.97624,3.976207,0.045117,0.772267,0.477934,0.005956,50.047275,50.774457999999996,50.48608099999999
73,5,49.999029,3.936096,4.030884,0.044657,0.776464,0.478648,0.007047,54.07457,54.711589,54.42082
73,6,47.218015,3.91467,3.893222,0.045675,0.759894,0.465185,0.006599,51.156912000000005,51.892579000000005,51.604469
73,7,44.945958,3.941216,3.894925,0.048298,0.755042,0.46178,0.005575,48.889181,49.642216,49.35452899999999
73,8,48.075507,3.881958,4.037935,0.047296,0.768904,0.5013,0.006696,52.160738,52.726369,52.465461
73,9,48.661965,3.899256,3.916931,0.04518,0.760815,0.471498,0.006758,52.624076,53.322036000000004,53.039477
73,10,45.482753,3.866291,3.915528,0.044916,0.761659,0.478537,0.006914,49.443197000000005,50.110703,49.834495000000004
73,11,47.034428,4.011483,3.916722,0.044207,0.756128,0.484848,0.006896,50.995357,51.80203899999999,51.537654999999994
73,12,45.853894,3.881819,3.875675,0.04359,0.754742,0.464607,0.006923,49.773159,50.490455,50.207243
74,0,48.113709,3.878818,4.020098,0.046927,0.787396,0.542606,0.006012,52.180733999999994,52.779923000000004,52.541145
74,1,51.770617,4.027094,4.050003,0.043981,0.793817,0.480675,0.006986,55.86460100000001,56.591528,56.285371999999995
74,2,46.316941,3.873088,3.904596,0.048642,0.757967,0.477225,0.006181,50.270179,50.947996,50.673435
74,3,46.288822,3.983469,3.995123,0.044786,0.779725,0.484947,0.006744,50.328731000000005,51.052016,50.763982
74,4,46.949666,3.957045,4.055703,0.052488,0.787651,0.492324,0.006746,51.057857,51.694362,51.405781
74,5,50.467728,4.011188,3.948764,0.042817,0.776073,0.485359,0.0067,54.459309,55.254988999999995,54.970975
74,6,49.232355,3.931886,3.890686,0.044644,0.761674,0.493685,0.007169,53.167685,53.925914999999996,53.665094999999994
74,7,47.16618,3.878562,3.99635,0.045282,0.763286,0.495258,0.006984,51.207812,51.808028,51.546984
74,8,48.146173,3.97661,3.948868,0.044371,0.753756,0.481177,0.006276,52.13941199999999,52.876539,52.610236
74,9,46.509382,3.860983,3.955681,0.04449,0.765954,0.462148,0.005463,50.509553000000004,51.136319,50.837976
75,0,47.538387,3.846097,3.90587,0.044151,0.763546,0.502828,0.006687,51.488408,52.14803,51.893999
75,1,49.039641,4.00622,4.155368,0.076997,0.776089,0.502047,0.006972,53.272006000000005,53.82195,53.55488
75,2,48.493214,3.879635,4.063351,0.049483,0.793905,0.517994,0.00713,52.606048,53.166754000000005,52.897973
75,3,47.58192,4.014567,3.940713,0.044733,0.77851,0.513618,0.00633,51.567366,52.37499699999999,52.116434999999996
75,4,50.27392,3.963698,3.949329,0.044411,0.764592,0.476532,0.00612,54.26765999999999,55.00221,54.72027
