method,audio_id,estoi,tx_gain_db
3,48,0.195064,32.00
proposed,49,0.594789,32.00
conv,49,0.377654,32.00
3,49,0.258699,32.00
proposed,50,0.599984,32.00
conv,50,0.357971,32.00
3,50,0.276980,32.00
proposed,51,0.579728,32.00
conv,51,0.410854,32.00
3,51,0.244593,32.00
proposed,52,0.587193,32.00
conv,52,0.367167,32.00
3,52,0.243221,32.00
proposed,53,0.574426,32.00
conv,53,0.372446,32.00
3,53,0.259302,32.00
proposed,54,0.606845,32.00
conv,54,0.407521,32.00
3,54,0.293660,32.00
proposed,55,0.610998,32.00
conv,55,0.414127,32.00
3,55,0.320727,32.00
proposed,56,0.624309,32.00
conv,56,0.399184,32.00
3,56,0.336815,32.00
proposed,57,0.575580,32.00
conv,57,0.350992,32.00
3,57,0.298465,32.00
proposed,58,0.627961,32.00
conv,58,0.382165,32.00
3,58,0.289088,32.00
proposed,59,0.552815,32.00
conv,59,0.354698,32.00
3,59,0.262419,32.00
proposed,60,0.606690,32.00
conv,60,0.428501,32.00
3,60,0.312660,32.00
proposed,61,0.564685,32.00
conv,61,0.380469,32.00
3,61,0.276586,32.00
proposed,62,0.647454,32.00
conv,62,0.508597,32.00
3,62,0.327158,32.00
proposed,63,0.611542,32.00
conv,63,0.437284,32.00
3,63,0.331679,32.00
proposed,64,0.639218,32.00
conv,64,0.422594,32.00
3,64,0.279050,32.00
proposed,65,0.570953,32.00
conv,65,0.469694,32.00
3,65,0.347712,32.00
proposed,66,0.478746,32.00
conv,66,0.374392,32.00
3,66,0.268244,32.00
proposed,67,0.531406,32.00
conv,67,0.202950,32.00
3,67,0.227789,32.00
proposed,68,0.536923,32.00
conv,68,0.341031,32.00
3,68,0.258464,32.00
proposed,69,0.503449,32.00
conv,69,0.459604,32.00
3,69,0.308291,32.00
proposed,70,0.527755,32.00
conv,70,0.379658,32.00
3,70,0.289411,32.00
proposed,71,0.510052,32.00
conv,71,0.404567,32.00
3,71,0.281571,32.00
proposed,72,0.534139,32.00
conv,72,0.378953,32.00
3,72,0.305588,32.00
proposed,73,0.536727,32.00
conv,73,0.378758,32.00
3,73,0.299417,32.00
proposed,74,0.529148,32.00
conv,74,0.392007,32.00
3,74,0.294125,32.00
proposed,75,0.581508,32.00
conv,75,0.406001,32.00
3,75,0.310673,32.00
proposed,76,0.542069,32.00
conv,76,0.399205,32.00
3,76,0.320769,32.00
proposed,77,0.416649,32.00
conv,77,0.290965,32.00
3,77,0.228373,32.00
proposed,78,0.565394,32.00
conv,78,0.427974,32.00
3,78,0.302696,32.00
proposed,79,0.575450,32.00
conv,79,0.432168,32.00
3,79,0.308416,32.00
proposed,80,0.557373,32.00
conv,80,0.401115,32.00
3,80,0.270230,32.00
proposed,81,0.645463,32.00
conv,81,0.468709,32.00
3,81,0.323438,32.00
proposed,82,0.616765,32.00
conv,82,0.451295,32.00
3,82,0.282544,32.00
proposed,83,0.617894,32.00
conv,83,0.399833,32.00
3,83,0.316430,32.00
proposed,84,0.644014,32.00
conv,84,0.435591,32.00
3,84,0.294067,32.00
proposed,85,0.632091,32.00
conv,85,0.399603,32.00
3,85,0.336587,32.00
proposed,86,0.608553,32.00
conv,86,0.397955,32.00
3,86,0.314728,32.00
proposed,87,0.649054,32.00
conv,87,0.464437,32.00
3,87,0.314763,32.00
proposed,88,0.510756,32.00
conv,88,0.375247,32.00
3,88,0.305950,32.00
proposed,89,0.606040,32.00
conv,89,0.455744,32.00
3,89,0.349569,32.00
proposed,90,0.606788,32.00
conv,90,0.363091,32.00
3,90,0.327185,32.00
proposed,91,0.632360,32.00
conv,91,0.423823,32.00
3,91,0.327813,32.00
proposed,92,0.570049,32.00
conv,92,0.177071,32.00
3,92,0.231866,32.00
proposed,93,0.522575,32.00
conv,93,0.176988,32.00
3,93,0.209335,32.00
proposed,94,0.536654,32.00
conv,94,0.193371,32.00
3,94,0.253713,32.00
proposed,95,0.547870,32.00
