method,audio_id,si_sdr_db,tx_gain_db
proposed,31,-10.273795,30.00
proposed,32,-14.409758,30.00
proposed,33,-10.546277,30.00
proposed,34,-10.333895,30.00
proposed,35,-9.044318,30.00
proposed,36,-11.713244,30.00
proposed,37,-10.495989,30.00
proposed,38,-7.702593,30.00
proposed,39,-10.684721,30.00
proposed,40,-11.492718,30.00
proposed,41,-10.554508,30.00
proposed,42,-8.114036,30.00
proposed,43,-11.040194,30.00
proposed,44,-11.239342,30.00
proposed,45,-9.908708,30.00
proposed,46,-8.405351,30.00
proposed,47,-10.621513,30.00
proposed,48,-12.511305,30.00
proposed,49,-10.277647,30.00
proposed,50,-9.136508,30.00
proposed,51,-10.120128,30.00
proposed,52,-9.905956,30.00
proposed,53,-9.978317,30.00
proposed,54,-8.443605,30.00
proposed,55,-9.535196,30.00
proposed,56,-9.309850,30.00
proposed,57,-10.288649,30.00
proposed,58,-11.988982,30.00
proposed,59,-8.779517,30.00
proposed,60,-11.482050,30.00
proposed,61,-9.832294,30.00
proposed,62,-8.917907,30.00
proposed,63,-9.093603,30.00
proposed,64,-9.424587,30.00
proposed,65,-17.739108,30.00
proposed,66,-22.694222,30.00
proposed,67,-18.376112,30.00
proposed,68,-20.903787,30.00
proposed,69,-19.540170,30.00
proposed,70,-17.055787,30.00
proposed,71,-26.095715,30.00
proposed,72,-19.792222,30.00
proposed,73,-23.757376,30.00
proposed,74,-17.292939,30.00
proposed,75,-17.570939,30.00
proposed,76,-18.922802,30.00
proposed,77,-21.797965,30.00
proposed,78,-19.027951,30.00
proposed,79,-21.557080,30.00
proposed,80,-21.575822,30.00
proposed,81,-10.148999,30.00
proposed,82,-9.595658,30.00
proposed,83,-10.937646,30.00
proposed,84,-11.875873,30.00
proposed,85,-13.493109,30.00
proposed,86,-10.247239,30.00
proposed,87,-9.146094,30.00
proposed,88,-13.340389,30.00
proposed,89,-11.887859,30.00
proposed,90,-11.351190,30.00
proposed,91,-7.766992,30.00
proposed,92,-5.667785,30.00
proposed,93,-8.445157,30.00
proposed,94,-10.927247,30.00
proposed,95,-9.449319,30.00
proposed,96,-8.767925,30.00
proposed,97,-9.006425,30.00
proposed,98,-9.566283,30.00
proposed,99,-10.012685,30.00
3,0,-17.484973,32.00
3,1,-12.852666,32.00
3,2,-12.403365,32.00
3,3,-11.660201,32.00
3,4,-11.107737,32.00
3,5,-11.071909,32.00
3,6,-11.172591,32.00
3,7,-12.164634,32.00
3,8,-11.014196,32.00
3,9,-11.536795,32.00
3,10,-12.269660,32.00
3,11,-11.215951,32.00
3,12,-12.362894,32.00
3,13,-13.233514,32.00
3,14,-12.113442,32.00
3,15,-12.027513,32.00
3,16,-11.297740,32.00
3,17,-15.578166,32.00
3,18,-11.529479,32.00
3,19,-12.738048,32.00
3,20,-14.736233,32.00
3,21,-11.980182,32.00
3,22,-12.864693,32.00
3,23,-13.113501,32.00
3,24,-12.121091,32.00
3,25,-12.748336,32.00
3,26,-11.967080,32.00
3,27,-11.859772,32.00
3,28,-11.596594,32.00
3,29,-11.261423,32.00
3,30,-10.606234,32.00
3,31,-10.116837,32.00
3,32,-13.037366,32.00
3,33,-10.950156,32.00
3,34,-10.370519,32.00
3,35,-12.708404,32.00
3,36,-12.809389,32.00
